customer_id,customer_name,gender,birth_date,age,country,signup_date,recency,frequency,monetary,R_score,F_score,M_score,rfm_score,segment
C0259,Customer_259,Male,10/24/1990,34,UK,10/19/2022,46,19,1523.51,2,4,2,242,At Risk
C0260,Customer_260,Male,2/18/1994,30,USA,1/14/2023,21,19,1663.5,5,3,3,533,Others
C0261,Customer_261,Female,11/8/1988,36,UK,7/23/2021,54,13,1576.3,2,1,2,212,Others
C0262,Customer_262,Female,4/16/1987,37,UK,8/1/2021,62,14,1612.6,2,1,2,212,Others
C0263,Customer_263,Male,1/1/1996,28,Canada,7/6/2022,52,22,1989.14,2,5,4,254,At Risk
C0264,Customer_264,Male,1/6/2000,24,UK,2/26/2023,105,16,1551.39,1,2,2,122,Others
C0265,Customer_265,Male,4/30/1992,32,Canada,11/19/2021,69,20,1870.68,1,4,3,143,At Risk
C0266,Customer_266,Female,12/31/1989,35,UK,8/17/2022,71,22,2242.45,1,5,5,155,At Risk
C0267,Customer_267,Female,12/1/2000,24,USA,6/30/2021,101,11,938.96,1,1,1,111,Others
C0268,Customer_268,Male,11/18/1991,33,UK,5/14/2022,19,19,1328.69,5,3,1,531,Others
C0269,Customer_269,Female,6/8/1999,25,UK,11/16/2021,33,15,1129.56,3,2,1,321,Others
C0270,Customer_270,Female,12/2/1995,29,Canada,3/24/2021,19,19,2123.79,5,3,4,534,Others
C0271,Customer_271,Female,6/20/1992,32,Canada,10/30/2021,29,34,3569.34,4,5,5,455,Loyal Customers
C0272,Customer_272,Female,5/1/2000,24,Canada,9/19/2021,18,18,2178,5,3,4,534,Others
C0273,Customer_273,Male,4/11/1991,33,UK,2/23/2023,18,24,1913.39,5,5,4,554,Loyal Customers
C0274,Customer_274,Female,12/20/1997,27,UK,7/19/2021,46,15,1949.29,2,2,4,224,Others
C0275,Customer_275,Female,8/3/1991,33,USA,8/28/2021,53,21,2205.16,2,4,5,245,At Risk
C0276,Customer_276,Male,1/27/1990,34,UK,11/23/2022,54,20,1721.91,2,4,3,243,At Risk
C0277,Customer_277,Male,11/25/1997,27,USA,11/14/2022,96,17,2481.7,1,3,5,135,Big Spenders
C0278,Customer_278,Female,7/25/1990,34,Canada,10/22/2021,40,20,2135.71,3,4,4,344,Others
C0279,Customer_279,Female,8/1/1989,35,Canada,5/27/2022,32,17,1778.82,3,3,3,333,Others
C0280,Customer_280,Male,6/17/1999,25,Canada,11/20/2022,22,25,2334.43,5,5,5,555,Champions
C0281,Customer_281,Male,4/20/2001,23,USA,1/31/2022,19,26,3148.95,5,5,5,555,Champions
C0282,Customer_282,Male,8/3/1989,35,UK,1/19/2023,32,23,2595.82,3,5,5,355,Big Spenders
C0283,Customer_283,Female,8/23/1988,36,Canada,5/18/2021,25,14,1658.29,4,2,3,423,Others
C0284,Customer_284,Female,5/24/1994,30,UK,5/9/2021,105,10,1070.66,1,1,1,111,Others
C0285,Customer_285,Male,3/13/2000,24,UK,2/18/2021,81,12,1573.81,1,1,2,112,Others
C0286,Customer_286,Female,11/18/1990,34,Canada,11/7/2022,34,19,1569.03,3,3,2,332,Others
C0287,Customer_287,Male,3/5/1991,33,USA,2/28/2023,19,23,2073.14,5,5,4,554,Loyal Customers
C0288,Customer_288,Female,4/24/1997,27,UK,10/20/2021,22,19,1848.72,5,3,3,533,Others
C0289,Customer_289,Male,9/8/1987,37,Canada,9/20/2022,45,19,1984.49,2,4,4,244,At Risk
C0290,Customer_290,Male,3/25/1991,33,UK,6/20/2022,26,20,1791.26,4,4,3,443,Loyal Customers
C0291,Customer_291,Female,3/20/1987,37,UK,11/7/2021,144,12,1212.64,1,1,1,111,Others
C0292,Customer_292,Female,7/21/1995,29,UK,6/21/2022,19,13,1139.24,5,1,1,511,New Customers
C0293,Customer_293,Female,6/16/1989,35,UK,10/1/2022,49,22,2166.56,2,5,4,254,At Risk
C0294,Customer_294,Female,5/8/2000,24,UK,8/22/2021,42,20,2221.91,3,4,5,345,Big Spenders
C0295,Customer_295,Female,8/14/1987,37,USA,7/28/2021,56,16,1631.65,2,2,3,223,Others
C0296,Customer_296,Female,2/26/2001,23,USA,8/28/2022,71,19,1811.65,1,4,3,143,At Risk
C0297,Customer_297,Male,4/24/1990,34,Canada,4/4/2021,141,16,1648.44,1,2,3,123,Others
C0298,Customer_298,Female,2/9/2001,23,USA,11/23/2021,27,17,1889.64,4,3,3,433,Others
C0299,Customer_299,Male,5/30/2000,24,USA,8/13/2021,63,14,1246.58,2,1,1,211,Others
C0300,Customer_300,Male,3/30/2000,24,USA,3/3/2023,39,21,2349.42,3,5,5,355,Big Spenders
C0301,Customer_301,Female,12/18/1992,32,UK,1/11/2021,41,16,1880.47,3,2,3,323,Others
C0302,Customer_302,Male,5/3/1994,30,UK,11/25/2021,55,12,864,2,1,1,211,Others
C0303,Customer_303,Male,11/25/1994,30,Canada,1/12/2021,99,19,1456.26,1,4,2,142,At Risk
C0304,Customer_304,Female,9/7/1994,30,Canada,2/4/2021,51,24,2775.74,2,5,5,255,At Risk
C0305,Customer_305,Female,12/4/1988,36,Canada,3/23/2022,161,7,609.09,1,1,1,111,Others
C0306,Customer_306,Female,12/19/1993,31,UK,3/28/2022,83,21,1361,1,4,2,142,At Risk
C0307,Customer_307,Male,6/28/1993,31,USA,1/10/2023,20,28,2293.26,5,5,5,555,Champions
C0308,Customer_308,Female,12/26/1995,29,USA,8/8/2021,23,23,2429.81,5,5,5,555,Champions
C0309,Customer_309,Female,11/24/1999,25,UK,3/17/2022,25,18,1859.77,4,3,3,433,Others
C0310,Customer_310,Female,11/25/1987,37,Canada,10/15/2022,53,17,1809.38,2,3,3,233,Others
C0311,Customer_311,Female,7/30/1998,26,Canada,6/19/2022,29,17,1401.14,4,3,2,432,Others
C0312,Customer_312,Male,7/1/2000,24,Canada,8/18/2022,69,16,1341.78,1,2,2,122,Others
C0313,Customer_313,Female,5/1/1987,37,UK,8/17/2021,22,20,1541.26,5,4,2,542,Loyal Customers
C0314,Customer_314,Male,8/22/1989,35,Canada,12/10/2021,19,14,1414.08,5,2,2,522,New Customers
C0315,Customer_315,Female,7/26/1998,26,Canada,3/21/2021,56,7,387.43,2,1,1,211,Others
C0316,Customer_316,Male,1/23/1997,27,UK,12/19/2021,40,24,2366.47,3,5,5,355,Big Spenders
C0317,Customer_317,Male,9/7/1992,32,USA,1/31/2022,23,15,1285.26,5,2,1,521,New Customers
C0318,Customer_318,Male,11/29/1987,37,UK,10/17/2021,25,19,1847.13,4,3,3,433,Others
C0319,Customer_319,Female,3/22/1996,28,UK,3/31/2022,68,17,1878.09,1,3,3,133,Others
C0320,Customer_320,Male,5/16/2001,23,UK,11/2/2022,55,25,2353.43,2,5,5,255,At Risk
C0321,Customer_321,Female,8/9/1990,34,UK,5/8/2021,34,23,1987.27,3,5,4,354,Others
C0322,Customer_322,Female,4/11/1990,34,USA,12/3/2022,20,18,2239.24,5,3,5,535,Big Spenders
C0323,Customer_323,Female,9/6/1995,29,Canada,6/27/2022,94,8,823.62,1,1,1,111,Others
C0324,Customer_324,Female,11/30/1990,34,UK,12/25/2021,63,21,2329.08,2,4,5,245,At Risk
C0325,Customer_325,Female,12/22/1987,37,USA,6/11/2022,20,22,2161.22,5,5,4,554,Loyal Customers
C0326,Customer_326,Male,8/5/1998,26,Canada,11/9/2021,31,22,1669.8,3,5,3,353,Others
C0327,Customer_327,Female,3/7/1991,33,Canada,3/16/2021,26,16,1772.27,4,2,3,423,Others
C0328,Customer_328,Male,9/2/1997,27,Canada,6/30/2022,95,20,2137.39,1,4,4,144,At Risk
C0329,Customer_329,Male,6/29/2001,23,UK,7/15/2021,26,18,1698.86,4,3,3,433,Others
C0330,Customer_330,Male,1/29/1987,37,UK,1/29/2021,69,20,1961.86,1,4,4,144,At Risk
C0331,Customer_331,Male,10/5/2000,24,Canada,12/7/2022,25,20,1922.11,4,4,4,444,Loyal Customers
C0332,Customer_332,Male,10/10/1989,35,Canada,1/16/2021,48,16,1809.87,2,2,3,223,Others
C0333,Customer_333,Male,5/26/1994,30,Canada,2/27/2022,36,29,3138.83,3,5,5,355,Big Spenders
C0334,Customer_334,Male,4/7/1989,35,Canada,8/12/2022,55,20,1815.58,2,4,3,243,At Risk
C0335,Customer_335,Female,3/5/1999,25,Canada,8/16/2022,23,16,1577.25,5,2,2,522,New Customers
C0336,Customer_336,Male,7/17/1992,32,Canada,2/9/2022,23,25,2954.58,5,5,5,555,Champions
C0337,Customer_337,Female,10/26/1987,37,USA,9/28/2022,76,26,2955.38,1,5,5,155,At Risk
C0338,Customer_338,Male,2/9/1992,32,Canada,6/15/2022,33,19,1746.2,3,4,3,343,Others
C0339,Customer_339,Male,12/30/1997,27,UK,9/6/2022,35,19,1951.89,3,4,4,344,Others
C0340,Customer_340,Male,7/17/2001,23,UK,3/18/2021,27,14,1367.61,4,1,2,412,Others
C0341,Customer_341,Male,10/12/1992,32,UK,8/17/2021,32,17,1910.41,3,3,3,333,Others
C0342,Customer_342,Female,1/24/1989,35,Canada,10/24/2021,35,27,3217.09,3,5,5,355,Big Spenders
C0343,Customer_343,Female,2/8/1989,35,UK,5/25/2022,63,22,2283.82,2,5,5,255,At Risk
C0344,Customer_344,Female,3/24/1997,27,USA,12/16/2022,20,18,1612.05,5,3,2,532,Others
C0345,Customer_345,Male,5/23/1990,34,Canada,7/27/2022,54,17,1807.13,2,3,3,233,Others
C0346,Customer_346,Male,6/30/2000,24,UK,6/22/2022,46,18,2150.36,2,3,4,234,Others
C0347,Customer_347,Male,1/22/1993,31,USA,8/6/2022,27,14,1178.78,4,2,1,421,Others
C0348,Customer_348,Female,3/21/1992,32,USA,9/7/2022,73,21,1841.45,1,4,3,143,At Risk
C0349,Customer_349,Male,4/14/1991,33,UK,11/22/2021,23,18,1997.37,5,3,4,534,Others
C0350,Customer_350,Female,5/3/1990,34,USA,12/29/2021,25,14,1447.16,4,2,2,422,Others
C0351,Customer_351,Female,8/7/1999,25,UK,10/31/2022,47,16,1397.66,2,2,2,222,Others
C0352,Customer_352,Male,9/19/1990,34,USA,12/25/2021,39,19,2126.48,3,4,4,344,Others
C0353,Customer_353,Male,7/6/1997,27,Canada,12/7/2022,24,21,1671.86,4,4,3,443,Loyal Customers
C0354,Customer_354,Female,12/31/1990,34,Canada,2/26/2023,18,15,1538.65,5,2,2,522,New Customers
C0355,Customer_355,Female,11/29/1997,27,Canada,11/20/2021,51,13,1603.26,2,1,2,212,Others
C0356,Customer_356,Female,11/17/1990,34,Canada,11/29/2022,26,26,3167.53,4,5,5,455,Loyal Customers
C0357,Customer_357,Male,10/24/1994,30,Canada,11/22/2021,23,22,2875.85,5,5,5,555,Champions
C0358,Customer_358,Male,6/4/2001,23,UK,9/17/2022,30,17,1412.33,4,3,2,432,Others
C0359,Customer_359,Male,4/18/2000,24,Canada,6/14/2021,33,18,1310.9,3,3,1,331,Others
C0360,Customer_360,Male,6/29/2000,24,Canada,7/27/2022,22,14,1347.17,5,2,2,522,New Customers
C0361,Customer_361,Male,11/29/1990,34,Canada,8/27/2022,37,17,1764.55,3,3,3,333,Others
C0362,Customer_362,Male,12/27/1998,26,Canada,3/9/2023,30,18,1605.76,4,3,2,432,Others
C0363,Customer_363,Female,4/2/1999,25,USA,3/31/2022,66,14,1475.16,1,1,2,112,Others
C0364,Customer_364,Female,10/3/1998,26,Canada,6/2/2021,21,13,1357.16,5,1,2,512,New Customers
C0365,Customer_365,Female,5/21/1995,29,Canada,1/7/2023,75,14,1344.31,1,1,2,112,Others
C0366,Customer_366,Male,5/30/1995,29,UK,5/7/2021,36,16,1215.52,3,2,1,321,Others
C0367,Customer_367,Female,7/9/1988,36,USA,7/12/2021,59,12,1699.93,2,1,3,213,Others
C0368,Customer_368,Male,12/22/1987,37,UK,9/19/2022,40,22,2207.84,3,5,5,355,Big Spenders
C0369,Customer_369,Male,4/13/1991,33,Canada,2/13/2023,50,18,1417.1,2,3,2,232,Others
C0370,Customer_370,Female,8/1/1996,28,UK,6/14/2022,37,18,1486.99,3,3,2,332,Others
C0371,Customer_371,Male,11/6/1989,35,UK,1/10/2021,29,14,1022.09,4,1,1,411,Others
C0372,Customer_372,Female,5/10/1994,30,Canada,4/2/2021,77,17,1766.43,1,3,3,133,Others
C0373,Customer_373,Female,4/2/1999,25,USA,5/19/2021,25,22,2031.93,4,5,4,454,Loyal Customers
C0374,Customer_374,Male,1/28/2000,24,USA,4/26/2022,48,19,1956.37,2,4,4,244,At Risk
C0375,Customer_375,Female,12/28/1993,31,UK,3/25/2022,68,19,1503.28,1,3,2,132,Others
C0376,Customer_376,Female,11/15/1991,33,Canada,11/29/2021,59,21,2154.29,2,4,4,244,At Risk
C0377,Customer_377,Female,9/3/2000,24,UK,12/6/2021,44,18,1549.35,2,3,2,232,Others
C0378,Customer_378,Female,3/17/1987,37,UK,2/21/2021,19,19,1812.59,5,3,3,533,Others
C0379,Customer_379,Male,11/5/1998,26,UK,12/8/2022,36,21,2164.62,3,4,4,344,Others
C0380,Customer_380,Female,11/5/2000,24,Canada,4/11/2022,45,20,2120.75,2,4,4,244,At Risk
C0381,Customer_381,Female,2/2/1996,28,Canada,12/19/2022,35,21,2052.19,3,4,4,344,Others
C0382,Customer_382,Female,6/7/1993,31,USA,3/10/2023,18,18,1570.15,5,3,2,532,Others
C0383,Customer_383,Male,8/5/1994,30,Canada,4/20/2022,35,17,1119.98,3,3,1,331,Others
C0384,Customer_384,Female,3/12/1993,31,UK,2/5/2022,20,16,1932.17,5,2,4,524,New Customers
C0385,Customer_385,Male,11/4/1995,29,UK,3/15/2022,41,13,1080.05,3,1,1,311,Others
C0386,Customer_386,Female,10/17/1992,32,USA,8/28/2022,69,21,1560.18,1,4,2,142,At Risk
C0387,Customer_387,Female,1/28/1988,36,Canada,10/19/2022,23,29,3743.3,5,5,5,555,Champions
C0388,Customer_388,Female,1/13/1990,34,UK,8/21/2022,36,12,1302.18,3,1,1,311,Others
C0389,Customer_389,Male,12/11/1998,26,USA,5/24/2022,21,15,1422.98,5,2,2,522,New Customers
C0390,Customer_390,Male,3/16/2001,23,USA,6/2/2021,70,22,2362.97,1,5,5,155,At Risk
C0391,Customer_391,Male,9/2/1988,36,UK,5/29/2022,129,11,903.89,1,1,1,111,Others
C0392,Customer_392,Male,12/19/2001,23,UK,5/18/2022,153,5,477.96,1,1,1,111,Others
C0393,Customer_393,Male,12/22/2000,24,Canada,2/11/2023,39,20,1702.95,3,4,3,343,Others
C0394,Customer_394,Male,11/5/2000,24,USA,11/7/2022,30,10,759.72,4,1,1,411,Others
C0395,Customer_395,Female,8/7/1994,30,UK,1/6/2021,51,16,1414.97,2,2,2,222,Others
C0396,Customer_396,Male,12/12/1997,27,USA,5/15/2022,20,17,1702,5,2,3,523,New Customers
C0397,Customer_397,Female,11/3/1988,36,Canada,10/23/2022,19,20,2031.75,5,4,4,544,Loyal Customers
C0398,Customer_398,Male,1/25/1997,27,UK,12/18/2022,26,19,2021.36,4,3,4,434,Others
C0399,Customer_399,Male,1/31/1987,37,Canada,4/28/2021,28,15,1345.67,4,2,2,422,Others
C0400,Customer_400,Male,12/15/2001,23,USA,4/30/2022,62,17,2043.12,2,3,4,234,Others
C0401,Customer_401,Female,11/1/1990,34,Canada,8/24/2022,95,25,2300.56,1,5,5,155,At Risk
C0402,Customer_402,Male,5/16/2001,23,Canada,10/28/2022,22,15,1256.33,5,2,1,521,New Customers
C0403,Customer_403,Male,2/23/1998,26,USA,11/10/2022,23,17,1157.64,5,2,1,521,New Customers
C0404,Customer_404,Female,9/8/1988,36,Canada,4/13/2022,36,18,1085.03,3,3,1,331,Others
C0405,Customer_405,Female,9/9/1999,25,USA,6/10/2021,46,19,1959.27,2,4,4,244,At Risk
C0406,Customer_406,Female,8/18/1994,30,UK,9/27/2021,32,14,1010.21,3,1,1,311,Others
C0407,Customer_407,Female,5/20/1989,35,USA,2/25/2021,24,17,1626.35,4,2,3,423,Others
C0408,Customer_408,Male,6/28/1998,26,USA,8/16/2021,40,16,1407.5,3,2,2,322,Others
C0409,Customer_409,Female,11/13/1996,28,UK,5/29/2021,20,16,1215.92,5,2,1,521,New Customers
C0410,Customer_410,Male,11/13/1990,34,USA,2/15/2021,34,17,1808.53,3,3,3,333,Others
C0411,Customer_411,Male,7/2/1994,30,UK,5/24/2021,22,20,2200.45,5,4,5,545,Loyal Customers
C0412,Customer_412,Female,7/29/1989,35,UK,1/20/2023,24,19,1923.4,4,3,4,434,Others
C0413,Customer_413,Male,12/7/1987,37,USA,2/23/2023,26,17,1665.22,4,2,3,423,Others
C0414,Customer_414,Female,12/18/1994,30,Canada,9/24/2022,57,15,1038.13,2,2,1,221,Others
C0415,Customer_415,Male,1/26/2001,23,Canada,12/6/2021,42,14,1304.68,3,1,1,311,Others
C0416,Customer_416,Female,4/26/1998,26,UK,2/17/2022,29,15,1286.8,4,2,1,421,Others
C0417,Customer_417,Female,10/21/1988,36,Canada,1/2/2023,24,25,2968.81,4,5,5,455,Loyal Customers
C0418,Customer_418,Female,7/26/1992,32,Canada,6/4/2022,20,18,1989.78,5,3,4,534,Others
C0419,Customer_419,Female,4/10/1991,33,USA,12/10/2021,29,17,1818.16,4,3,3,433,Others
C0420,Customer_420,Female,6/19/1996,28,UK,1/22/2022,52,21,1660.63,2,4,3,243,At Risk
C0421,Customer_421,Female,7/15/1991,33,UK,4/18/2022,53,17,1863.42,2,3,3,233,Others
C0422,Customer_422,Male,2/23/1995,29,USA,10/2/2021,67,15,1185.29,1,2,1,121,Others
C0423,Customer_423,Male,11/15/1989,35,Canada,12/19/2021,22,17,1099.51,5,2,1,521,New Customers
C0424,Customer_424,Male,3/29/1988,36,UK,3/7/2021,120,12,1184.16,1,1,1,111,Others
C0425,Customer_425,Female,9/1/1991,33,Canada,3/20/2021,20,16,1353.63,5,2,2,522,New Customers
C0426,Customer_426,Male,11/25/2001,23,UK,8/21/2022,36,14,1815.67,3,1,3,313,Others
C0427,Customer_427,Female,8/16/1994,30,UK,9/28/2022,27,17,2052.4,4,3,4,434,Others
C0428,Customer_428,Male,3/29/1989,35,UK,7/21/2021,27,26,2507.11,4,5,5,455,Loyal Customers
C0429,Customer_429,Male,4/30/2000,24,UK,10/24/2022,25,16,2091.27,4,2,4,424,Others
C0430,Customer_430,Female,1/13/1987,37,Canada,7/12/2022,21,13,1106.75,5,1,1,511,New Customers
C0431,Customer_431,Male,11/23/1997,27,Canada,4/23/2021,29,18,1411.09,4,3,2,432,Others
C0432,Customer_432,Male,7/9/1989,35,Canada,4/1/2021,61,16,1876.45,2,2,3,223,Others
C0433,Customer_433,Male,6/21/2000,24,Canada,5/21/2021,52,16,1676.94,2,2,3,223,Others
C0434,Customer_434,Female,8/15/1993,31,USA,10/16/2021,86,16,1288.3,1,2,1,121,Others
C0435,Customer_435,Male,8/7/1990,34,UK,12/31/2022,19,20,1852.24,5,4,3,543,Loyal Customers
C0436,Customer_436,Female,1/25/1997,27,UK,8/12/2022,22,18,2138,5,3,4,534,Others
C0437,Customer_437,Male,7/10/1992,32,UK,2/15/2022,55,17,1662.72,2,3,3,233,Others
C0438,Customer_438,Male,5/13/1990,34,USA,1/12/2022,31,21,2389.73,3,5,5,355,Big Spenders
